timestamp_utc,symbol,sonnet_decision,sonnet_confidence,gemini_quality,gemini_state,reference_entry,max_high_2h,min_low_2h,mfe_2h_pct,mae_2h_pct,hit_1_5pct,hit_3pct,clean_hit_1_5pct
2026-09-03 22:11:21,DASHUSDT,TETIK_BEKLE,55,86,RETRIGGER,46.24,47.6,45.87,2.941176470588225,-0.8001730103806337,True,False,True
2026-09-03 22:11:47,JSTUSDT,ALIM_ADAYI,70,85,RETRIGGER,0.1071,0.10735,0.10688,0.23342670401493848,-0.20541549953314586,False,False,False
2026-09-03 22:28:32,DASHUSDT,TETIK_BEKLE,54,82,RETRIGGER,46.25,47.6,45.87,2.9189189189189113,-0.8216216216216266,True,False,True
2026-09-03 22:45:13,FORMUSDT,ALIM_ADAYI,68,82,RETRIGGER,0.2742,0.2805,0.2726,2.297592997811826,-0.5835156819839482,True,False,True
2026-09-03 23:01:15,PENDLEUSDT,REDDET,78,84,RETRIGGER,1.974,2.0,1.952,1.317122593718345,-1.1144883485309065,False,False,False
2026-09-03 23:01:39,BTCUSDT,TETIK_BEKLE,55,82,COOLING,81172.01,81427.75,80786.44,0.31505934126800916,-0.47500363733754547,False,False,False
2026-09-03 23:17:44,MOVEUSDT,REDDET,74,82,RETRIGGER,0.0098,0.0098,0.0095,0.0,-3.0612244897959218,False,False,False
2026-09-03 23:33:47,MOVEUSDT,TETIK_BEKLE,42,88,RETRIGGER,0.0098,0.0098,0.0094,0.0,-4.081632653061218,False,False,False
2026-09-03 23:34:20,EDUUSDT,TETIK_BEKLE,58,85,BREAKOUT_EARLY,0.0525,0.0538,0.0523,2.4761904761904763,-0.3809523809523818,True,False,True
2026-09-03 23:50:31,BTCUSDT,TETIK_BEKLE,52,85,COOLING,81270.37,81427.75,80759.52,0.19364991201591408,-0.6285808714787344,False,False,False
2026-09-03 23:50:55,EDUUSDT,TETIK_BEKLE,42,84,BREAKOUT_EARLY,0.0525,0.0538,0.0522,2.4761904761904763,-0.5714285714285561,True,False,True
2026-09-04 00:06:50,DASHUSDT,REDDET,78,85,RETRIGGER,47.4,47.94,46.11,1.13924050632912,-2.7215189873417756,False,False,False
2026-09-04 00:07:23,SCUSDT,TETIK_BEKLE,58,84,RETRIGGER,0.000724,0.000724,0.000697,0.0,-3.7292817679558055,False,False,False
2026-09-04 00:23:40,SCUSDT,TETIK_BEKLE,57,85,RETRIGGER,0.000713,0.000714,0.000697,0.14025245441795509,-2.244039270687226,False,False,False
2026-09-04 00:23:57,DASHUSDT,REDDET,72,84,RETRIGGER,47.07,48.47,46.11,2.974293605268752,-2.0395156150414318,True,False,True
2026-09-04 00:39:54,ACHUSDT,REDDET,74,85,RETRIGGER,0.0053,0.00534,0.00525,0.7547169811320753,-0.9433962264150941,False,False,False
2026-09-04 00:40:17,TREEUSDT,TETIK_BEKLE,57,82,RETRIGGER,0.0416,0.0416,0.041,0.0,-1.4423076923076872,False,False,False
2026-09-04 00:56:32,ZROUSDT,ALIM_ADAYI,66,86,RETRIGGER,1.114,1.149,1.114,3.141831238779158,0.0,True,True,True
2026-09-04 00:56:59,ANKRUSDT,ALIM_ADAYI,63,82,RETRIGGER,0.0042,0.00423,0.0041,0.714285714285734,-2.3809523809523614,False,False,False
2026-09-04 01:12:56,EDUUSDT,REDDET,74,85,BREAKOUT_EARLY,0.0528,0.0538,0.0523,1.8939393939394034,-0.9469696969697017,True,False,True
2026-09-04 01:13:19,ARBUSDT,REDDET,80,84,RETRIGGER,0.1445,0.1446,0.1344,0.06920415224913601,-6.989619377162626,False,False,False
2026-09-04 01:29:16,ARBUSDT,REDDET,78,85,RETRIGGER,0.1362,0.1385,0.1344,1.6886930983847526,-1.3215859030836996,True,False,True
2026-09-04 01:29:40,EDUUSDT,REDDET,74,82,RETRIGGER,0.0522,0.0538,0.0522,3.065134099616862,0.0,True,True,True
2026-09-04 01:45:48,CHIPUSDT,TETIK_BEKLE,42,82,RETRIGGER,0.06111,0.06249,0.05761,2.25822287677957,-5.72737686139747,True,False,False
2026-09-04 02:02:03,EDUUSDT,REDDET,63,85,RETRIGGER,0.0531,0.0538,0.053,1.3182674199623268,-0.18832391713747842,False,False,False
2026-09-04 02:02:24,RAYUSDT,ALIM_ADAYI,66,85,RETRIGGER,0.8351,0.8431,0.8296,0.957969105496348,-0.6586037600287309,False,False,False
2026-09-04 02:18:39,EDUUSDT,REDDET,22,82,RETRIGGER,0.0533,0.0539,0.053,1.1257035647279645,-0.5628517823639823,False,False,False
2026-09-04 02:19:09,RAYUSDT,TETIK_BEKLE,58,82,COOLING,0.8352,0.8472,0.8318,1.4367816091953811,-0.4070881226053702,False,False,False
2026-09-04 02:35:28,HIVEUSDT,TETIK_BEKLE,57,82,RETRIGGER,0.0475,0.0478,0.0457,0.6315789473684275,-3.7894736842105314,False,False,False
2026-09-04 03:08:31,DASHUSDT,REDDET,78,88,RETRIGGER,50.3,52.97,49.71,5.308151093439362,-1.1729622266401507,True,True,True
2026-09-04 03:08:54,ZENUSDT,TETIK_BEKLE,47,85,RETRIGGER,6.211,6.405,6.169,3.123490581226851,-0.6762196103687113,True,True,True
2026-09-04 03:24:50,DASHUSDT,REDDET,78,86,BREAKOUT_EARLY,50.28,52.97,48.72,5.350039777247417,-3.1026252983293645,True,True,False
2026-09-04 03:25:19,ARKUSDT,TETIK_BEKLE,55,85,RETRIGGER,0.1171,0.1186,0.1166,1.2809564474807855,-0.4269854824935915,False,False,False
2026-09-04 03:41:26,DASHUSDT,TETIK_BEKLE,52,90,BREAKOUT_EARLY,51.04,52.97,48.72,3.781347962382453,-4.545454545454541,True,True,False
2026-09-04 03:58:14,ADAUSDT,TETIK_BEKLE,52,88,RETRIGGER,0.2241,0.2272,0.2202,1.3833110218652411,-1.7402945113788482,False,False,False
2026-09-04 03:58:50,WOOUSDT,TETIK_BEKLE,52,86,BREAKOUT_EARLY,0.01152,0.01153,0.01129,0.08680555555555802,-1.9965277777777901,False,False,False
2026-09-04 04:14:54,ICPUSDT,ALIM_ADAYI,66,85,RETRIGGER,2.553,2.568,2.519,0.5875440658049458,-1.3317665491578423,False,False,False
2026-09-04 04:15:19,DUSKUSDT,ALIM_ADAYI,66,84,RETRIGGER,0.0726,0.0727,0.072,0.13774104683195176,-0.8264462809917439,False,False,False
2026-09-04 04:31:27,ENSOUSDT,TETIK_BEKLE,54,82,RETRIGGER,0.878,0.879,0.855,0.1138952164009055,-2.6195899772209597,False,False,False
2026-09-04 04:47:39,ZENUSDT,REDDET,78,85,RETRIGGER,6.267,6.295,6.119,0.4467847454922458,-2.3615765118876753,False,False,False
2026-09-04 04:48:06,RAYUSDT,ALIM_ADAYI,66,85,RETRIGGER,0.8384,0.839,0.8271,0.07156488549617812,-1.3478053435114656,False,False,False
2026-09-04 05:04:28,QNTUSDT,ALIM_ADAYI,63,82,RETRIGGER,65.69,65.84,65.23,0.22834525803014927,-0.7002587912924296,False,False,False
2026-09-04 05:21:06,ZENUSDT,REDDET,74,82,BREAKOUT_EARLY,6.248,6.476,6.119,3.649167733674763,-2.0646606914212606,True,True,True
2026-09-04 05:37:15,PROVEUSDT,TETIK_BEKLE,55,82,RETRIGGER,0.1798,0.1802,0.1789,0.22246941045607205,-0.5005561735261344,False,False,False
2026-09-04 05:37:49,ENJUSDT,ALIM_ADAYI,66,82,RETRIGGER,0.0265,0.02673,0.02611,0.8679245283018888,-1.4716981132075424,False,False,False
2026-09-04 05:54:06,ZENUSDT,REDDET,74,85,RETRIGGER,6.145,6.476,5.983,5.386493083807986,-2.6362896663954416,True,True,False
2026-09-04 06:26:36,SNDKBUSDT,TETIK_BEKLE,55,82,RETRIGGER,1574.71,1598.17,1568.46,1.489798121558894,-0.3968984765448824,False,False,False
2026-09-04 06:59:06,PROMUSDT,TETIK_BEKLE,52,84,RETRIGGER,5.649,5.666,5.135,0.30093821915384567,-9.09895556735706,False,False,False
2026-09-04 07:15:21,ARKUSDT,TETIK_BEKLE,52,85,RETRIGGER,0.1192,0.1233,0.1187,3.439597315436238,-0.4194630872483174,True,True,True
2026-09-04 07:15:48,IOTXUSDT,ALIM_ADAYI,60,85,RETRIGGER,0.003061,0.003085,0.003051,0.7840574975498171,-0.32669062397909787,False,False,False
2026-09-04 07:32:35,EDENUSDT,TETIK_BEKLE,42,84,RETRIGGER,0.06219,0.0623,0.06044,0.17687731146487362,-2.813957227850139,False,False,False
2026-09-04 07:32:58,NEARUSDT,ALIM_ADAYI,68,82,RETRIGGER,1.965,2.023,1.953,2.9516539440203493,-0.6106870229007688,True,False,True
2026-09-04 08:05:37,ZECUSDT,REDDET,74,85,RETRIGGER,970.27,1029.22,965.55,6.075628433322677,-0.4864625310480597,True,True,True
2026-09-04 08:22:25,SPKUSDT,ALIM_ADAYI,64,82,RETRIGGER,0.020984,0.020984,0.020328,0.0,-3.1261913839115585,False,False,False
