trades,wins,losses,flat,end,return_pct,maxdd,avg_exposure,version,period,threshold,policy
51,32,6,13,7030.488246567954,181.21952986271816,-4.733811006400002,1.0,V10,TRAIN,0.44000000000000006,4_2_fixed12h
18,2,6,10,2310.3259557649835,-7.5869617694006575,-13.712692457162568,1.0,V10,CAL,0.44000000000000006,4_2_fixed12h
18,3,7,8,2354.769397068892,-5.809224117244316,-10.61290722099364,1.0,V10,TEST,0.44000000000000006,4_2_fixed12h
54,37,8,9,5709.143523194886,128.36574092779546,-4.351600000000011,1.0,V14,TRAIN,0.42000000000000004,3_2
20,5,5,10,2517.127815101969,0.6851126040787747,-9.425045281664179,1.0,V14,CAL,0.42000000000000004,3_2
22,4,7,11,2337.3320001340385,-6.506719994638466,-10.147474017446957,1.0,V14,TEST,0.42000000000000004,3_2
68,49,19,0,8971.71814394336,258.8687257577344,-4.546414538009403,1.0,V16,TRAIN,0.44000000000000006,"(2.0, -0.5, 0.5, 2.0)"
21,10,11,0,2670.759122713362,6.830364908534481,-5.999859807849983,1.0,V16,CAL,0.44000000000000006,"(2.0, -0.5, 0.5, 2.0)"
20,6,14,0,2391.8802601880043,-4.324789592479828,-11.471773147511488,1.0,V16,TEST,0.44000000000000006,"(2.0, -0.5, 0.5, 2.0)"
63,48,15,0,8573.377659051495,242.93510636205983,-3.853998269308634,0.9047619047619048,V17,TRAIN,0.44000000000000006,"(1.5, 0.5, 2, 24.0)"
19,9,10,0,2628.279226912781,5.131169076511233,-3.957924312629979,0.631578947368421,V17,CAL,0.44000000000000006,"(1.5, 0.5, 2, 24.0)"
17,6,11,0,2448.328974735831,-2.0668410105667667,-6.758083934119963,0.5588235294117647,V17,TEST,0.44000000000000006,"(1.5, 0.5, 2, 24.0)"
51,37,14,0,6723.17350456631,168.9269401826524,-3.2758000000000065,0.9117647058823529,V18,TRAIN,0.44000000000000006,"(4.0, 0.5, 1, 1)"
18,7,11,0,2563.514646915948,2.540585876637924,-6.235182507363901,0.7222222222222222,V18,CAL,0.44000000000000006,"(4.0, 0.5, 1, 1)"
18,6,12,0,2416.662309211961,-3.3335076315215484,-7.967613903479187,0.5833333333333334,V18,TEST,0.44000000000000006,"(4.0, 0.5, 1, 1)"
