version,period,entry_ts,symbol,ret,kind,p10
V10,TRAIN,2026-06-07 00:14:59.999000072+00:00,ZECUSDT,3.8,W,0.7598314123072102
V10,TRAIN,2026-06-07 12:29:59.999000072+00:00,WLDUSDT,3.8,W,0.4662003153298173
V10,TRAIN,2026-06-08 08:59:59.999000072+00:00,BCHUSDT,3.8,W,0.5277173986198896
V10,TRAIN,2026-06-09 00:44:59.999000072+00:00,ZROUSDT,3.8,W,0.5763487665713327
V10,TRAIN,2026-06-09 16:29:59.999000072+00:00,AVAXUSDT,-0.2,F,0.6159239041518322
V10,TRAIN,2026-06-10 08:29:59.999000072+00:00,EDUUSDT,3.8,W,0.49907683975807365
V10,TRAIN,2026-06-10 20:29:59.999000072+00:00,TIAUSDT,-2.2,L,0.5058386564837567
V10,TRAIN,2026-06-11 12:44:59.999000072+00:00,BCHUSDT,3.8,W,0.45669360503324374
V10,TRAIN,2026-06-12 04:29:59.999000072+00:00,EDUUSDT,3.8,W,0.4410537932435384
V10,TRAIN,2026-06-12 16:29:59.999000072+00:00,SEIUSDT,3.8,W,0.4572357808623891
V10,TRAIN,2026-06-13 04:29:59.999000072+00:00,RAYUSDT,3.8,W,0.48190010628850144
V10,TRAIN,2026-06-13 16:59:59.999000072+00:00,DASHUSDT,3.8,W,0.49628394452752345
V10,TRAIN,2026-06-14 08:14:59.999000072+00:00,ZROUSDT,-0.2,F,0.5385186324892053
V10,TRAIN,2026-06-14 20:14:59.999000072+00:00,FILUSDT,3.8,W,0.6312526359506634
V10,TRAIN,2026-06-15 08:14:59.999000072+00:00,UNIUSDT,3.8,W,0.4653330744432294
V10,TRAIN,2026-06-16 00:14:59.999000072+00:00,WLDUSDT,-2.2,L,0.45943906384079686
V10,TRAIN,2026-06-16 12:44:59.999000072+00:00,WLDUSDT,-2.2,L,0.44189244671082645
V10,TRAIN,2026-06-17 00:44:59.999000072+00:00,FORMUSDT,3.8,W,0.5520673719349387
V10,TRAIN,2026-06-18 16:14:59.999000072+00:00,ARBUSDT,3.8,W,0.5607510583520068
V10,TRAIN,2026-06-19 12:14:59.999000072+00:00,ZROUSDT,3.8,W,0.44816106075554085
V10,TRAIN,2026-06-20 04:14:59.999000072+00:00,ENJUSDT,3.8,W,0.4899826453930259
V10,TRAIN,2026-06-20 20:14:59.999000072+00:00,AVAXUSDT,-0.2,F,0.4882151987484462
V10,TRAIN,2026-06-21 08:14:59.999000072+00:00,FORMUSDT,3.8,W,0.440463671185108
V10,TRAIN,2026-06-23 08:44:59.999000072+00:00,ARBUSDT,3.8,W,0.49856063556650376
V10,TRAIN,2026-06-24 04:44:59.999000072+00:00,AAVEUSDT,3.8,W,0.5214622136513745
V10,TRAIN,2026-06-25 20:14:59.999000072+00:00,BCHUSDT,3.8,W,0.4552062792908499
V10,TRAIN,2026-06-26 12:14:59.999000072+00:00,ZROUSDT,3.8,W,0.6286661975813659
V10,TRAIN,2026-06-27 04:14:59.999000072+00:00,TIAUSDT,-0.2,F,0.45172061644567246
V10,TRAIN,2026-06-29 00:44:59.999000072+00:00,ZECUSDT,3.8,W,0.45204715270663615
V10,TRAIN,2026-06-30 00:14:59.999000072+00:00,ADAUSDT,-0.2,F,0.5496040918709055
V10,TRAIN,2026-06-30 12:44:59.999000072+00:00,ARKUSDT,-0.2,F,0.5008923646926684
V10,TRAIN,2026-07-01 00:44:59.999000072+00:00,ADAUSDT,3.8,W,0.45482775746202403
V10,TRAIN,2026-07-01 12:59:59.999000072+00:00,BCHUSDT,3.8,W,0.5174922703905545
V10,TRAIN,2026-07-02 00:59:59.999000072+00:00,XRPUSDT,3.8,W,0.725061267706108
V10,TRAIN,2026-07-02 16:14:59.999000072+00:00,ZROUSDT,3.8,W,0.5446722240857274
V10,TRAIN,2026-07-03 04:59:59.999000072+00:00,ENJUSDT,3.8,W,0.5754014658458358
V10,TRAIN,2026-07-04 00:14:59.999000072+00:00,ATOMUSDT,-0.2,F,0.48874564861049297
V10,TRAIN,2026-07-04 20:14:59.999000072+00:00,BCHUSDT,-0.2,F,0.49781716633902184
V10,TRAIN,2026-07-05 12:14:59.999000072+00:00,WLDUSDT,-2.2,L,0.45923658647703247
V10,TRAIN,2026-07-08 08:14:59.999000072+00:00,WLDUSDT,-2.2,L,0.45752544003740836
V10,TRAIN,2026-07-09 00:14:59.999000072+00:00,EDUUSDT,3.8,W,0.55976644778313
V10,TRAIN,2026-07-09 12:14:59.999000072+00:00,BCHUSDT,-0.2,F,0.45776873731296785
V10,TRAIN,2026-07-10 00:14:59.999000072+00:00,AAVEUSDT,3.8,W,0.4716393277875293
V10,TRAIN,2026-07-10 16:14:59.999000072+00:00,ENJUSDT,3.8,W,0.4459664293317924
V10,TRAIN,2026-07-13 20:44:59.999000072+00:00,WLDUSDT,-2.2,L,0.44583839482938725
V10,TRAIN,2026-07-14 08:44:59.999000072+00:00,ZENUSDT,3.8,W,0.46042077851235547
V10,TRAIN,2026-07-15 00:14:59.999000072+00:00,FORMUSDT,-0.2,F,0.523698437215029
V10,TRAIN,2026-07-15 16:29:59.999000072+00:00,XLMUSDT,-0.2,F,0.462939789990177
V10,TRAIN,2026-07-19 04:29:59.999000072+00:00,HBARUSDT,-0.2,F,0.6290629618288603
V10,TRAIN,2026-07-19 16:29:59.999000072+00:00,HBARUSDT,-0.2,F,0.4514669251853373
V10,TRAIN,2026-07-20 20:29:59.999000072+00:00,OPUSDT,3.8,W,0.4562806338828894
V10,CAL,2026-07-22 04:14:59.999000072+00:00,ZROUSDT,3.8,W,0.7280250653446456
V10,CAL,2026-07-22 16:44:59.999000072+00:00,ZROUSDT,-2.2,L,0.4792337706482833
V10,CAL,2026-07-23 08:14:59.999000072+00:00,ZECUSDT,-2.2,L,0.5008091967292879
V10,CAL,2026-07-25 04:14:59.999000072+00:00,BCHUSDT,-0.2,F,0.4437327734002337
V10,CAL,2026-07-25 16:14:59.999000072+00:00,RAYUSDT,-0.2,F,0.5293163775496837
V10,CAL,2026-07-26 04:29:59.999000072+00:00,WLDUSDT,-0.2,F,0.4867791298996918
V10,CAL,2026-07-26 20:14:59.999000072+00:00,ACHUSDT,-0.2,F,0.5834339542525702
V10,CAL,2026-07-27 12:44:59.999000072+00:00,TIAUSDT,-2.2,L,0.47648642106166295
V10,CAL,2026-07-28 20:14:59.999000072+00:00,ZROUSDT,-2.2,L,0.44966536474549157
V10,CAL,2026-07-30 08:14:59.999000072+00:00,ZROUSDT,-0.2,F,0.458981231417917
V10,CAL,2026-07-31 04:29:59.999000072+00:00,TIAUSDT,-2.2,L,0.47523586970996984
V10,CAL,2026-07-31 20:14:59.999000072+00:00,ZENUSDT,-0.2,F,0.45606155277426924
V10,CAL,2026-08-01 08:59:59.999000072+00:00,ETHUSDT,-2.2,L,0.4722468486245992
V10,CAL,2026-08-02 12:59:59.999000072+00:00,APTUSDT,-0.2,F,0.44666428472190395
V10,CAL,2026-08-03 04:14:59.999000072+00:00,ATOMUSDT,3.8,W,0.4710169224494181
V10,CAL,2026-08-03 20:29:59.999000072+00:00,OPUSDT,-0.2,F,0.4752509690491695
V10,CAL,2026-08-05 00:14:59.999000072+00:00,UNIUSDT,-0.2,F,0.45396300492299096
V10,CAL,2026-08-05 12:14:59.999000072+00:00,ZROUSDT,-0.2,F,0.4907291666607508
V10,TEST,2026-08-06 00:14:59.999000072+00:00,ARKUSDT,3.8,W,0.4405774637991055
V10,TEST,2026-08-06 16:44:59.999000072+00:00,WLDUSDT,-2.2,L,0.45298452184161514
V10,TEST,2026-08-07 08:14:59.999000072+00:00,RENDERUSDT,-0.2,F,0.555947916244613
V10,TEST,2026-08-09 08:14:59.999000072+00:00,RENDERUSDT,-0.2,F,0.5957627725105655
V10,TEST,2026-08-14 04:14:59.999000072+00:00,TIAUSDT,-2.2,L,0.4744435233551986
V10,TEST,2026-08-15 08:14:59.999000072+00:00,FILUSDT,-0.2,F,0.4927862822399985
V10,TEST,2026-08-16 16:14:59.999000072+00:00,FORMUSDT,-2.2,L,0.4584980686170481
V10,TEST,2026-08-18 00:14:59.999000072+00:00,SEIUSDT,-2.2,L,0.4753367034718352
V10,TEST,2026-08-18 12:29:59.999000072+00:00,TIAUSDT,-0.2,F,0.5248174311659739
V10,TEST,2026-08-19 00:29:59.999000072+00:00,ATOMUSDT,-0.2,F,0.4792087666338434
