objective,threshold,policy,trades,wins,losses,flat,end,return_pct,maxdd,avg_exposure
-24.12754588174585,0.42000000000000004,3_2,20,5,5,10,2517.127815101969,0.6851126040787747,-9.425045281664179,1.0
-29.301379997966983,0.41000000000000003,3_2,20,4,6,10,2394.6994194258036,-4.212023222967853,-9.482673364285466,1.0
-30.135386761780623,0.4,3_2,21,4,6,11,2389.9100205869518,-4.403599176521933,-9.663708017556905,1.0
-34.61826289187739,0.44000000000000006,3_2,18,4,6,8,2404.307030318958,-3.827718787241685,-11.118885617197504,1.0
-40.64447672435741,0.42000000000000004,4_2,20,2,5,13,2348.1510280769476,-6.073958876922092,-12.124229589063152,1.0
-42.50354783189119,0.41000000000000003,4_2,20,2,6,12,2301.093893245746,-7.956244270170155,-12.124229589063152,1.0
-43.30681335527503,0.4,4_2,21,2,6,13,2296.4917054592547,-8.140331781629806,-12.29998112988503,1.0
-43.566779800441054,0.43000000000000005,3_2,19,4,7,8,2351.412275651941,-5.943508973922363,-13.074270133619148,1.0
-47.6794409250252,0.44000000000000006,4_2,18,2,6,10,2310.3259557649835,-7.5869617694006575,-13.712692457162568,1.0
-53.262472548562755,0.44000000000000006,5_25,18,1,5,12,2230.6528528327594,-10.773885886689627,-14.347691427201848,1.0
-54.22191959390247,0.42000000000000004,5_25,20,1,5,14,2221.7391640328397,-11.130433438686415,-14.518996044347443,1.0
-56.33324401414842,0.43000000000000005,4_2,19,2,7,10,2259.4987847381535,-9.620048610473864,-15.611013223105008,1.0
-56.4159682838867,0.41000000000000003,5_25,20,1,6,13,2166.0843753546624,-13.356624985813504,-14.518996044347443,1.0
-57.18928872827133,0.4,5_25,21,1,6,14,2161.7522066039533,-13.529911735841871,-14.689958052258756,1.0
-63.733490213310304,0.43000000000000005,5_25,19,1,6,12,2170.4252258062756,-13.182990967748974,-16.66030375866736,1.0
