objective,dd_trigger,reduced_exposure,loss_trigger,cooldown_h,trades,wins,losses,flat,end,return_pct,maxdd,avg_exposure
-1.605198470591231,1.5,0.5,2,24,19,9,10,0,2628.279226912781,5.131169076511233,-3.957924312629979,0.631578947368421
-1.688018759382588,2.0,0.35,2,24,19,9,10,0,2614.705797064307,4.588231882572269,-3.695000366831347,0.5210526315789473
-3.7594889367389484,1.5,0.35,2,24,19,9,10,0,2562.9190426303976,2.5167617052159086,-3.695000366831347,0.4868421052631578
-5.1868893272797925,2.0,0.8,2,24,19,9,10,0,2649.963023938498,5.998520957539921,-4.921139007330466,0.8736842105263158
-5.221424043075865,3.0,0.35,1,0,21,10,11,0,2603.9199580670115,4.156798322680455,-4.544888919106594,0.5666666666666667
-5.309662125645414,3.0,0.35,2,0,21,10,11,0,2601.71400600277,4.068560240110797,-4.544888919106571,0.6595238095238095
-5.309662125645414,3.0,0.35,3,0,21,10,11,0,2601.71400600277,4.068560240110797,-4.544888919106571,0.6595238095238095
-5.479964858567049,1.5,0.8,2,24,19,9,10,0,2642.6361356563166,5.705445426252664,-4.921139007330466,0.8631578947368422
-6.591372383073901,2.0,0.65,2,24,19,9,10,0,2620.9185679779775,4.8367427191190915,-4.97223475835642,0.7605263157894737
-6.623736975855037,1.5,0.35,2,0,21,10,11,0,2551.7287635033495,2.0691505401339683,-4.400607898102948,0.4428571428571427
-6.623736975855037,1.5,0.35,3,0,21,10,11,0,2551.7287635033495,2.0691505401339683,-4.400607898102948,0.4428571428571427
-6.623736975855037,1.5,0.35,1,0,21,10,11,0,2551.7287635033495,2.0691505401339683,-4.400607898102948,0.4428571428571427
-6.927245684261645,2.0,0.35,1,0,21,10,11,0,2544.141045793184,1.7656418317273603,-4.400607898102948,0.4738095238095237
-6.927245684261645,2.0,0.35,2,0,21,10,11,0,2544.141045793184,1.7656418317273603,-4.400607898102948,0.4738095238095237
-6.927245684261645,2.0,0.35,3,0,21,10,11,0,2544.141045793184,1.7656418317273603,-4.400607898102948,0.4738095238095237
-7.0161676351648765,4.0,0.35,1,6,19,9,10,0,2613.164662367198,4.526586494687934,-4.996369290495329,0.6236842105263157
-7.307211315201463,3.0,0.65,2,24,19,9,10,0,2633.7941242887023,5.351764971548101,-5.231363428789382,0.8894736842105262
-7.709429706816562,1.5,0.65,2,24,19,9,10,0,2592.967134884411,3.718685395376431,-4.97223475835642,0.7421052631578948
-8.032644127928005,3.0,0.5,1,0,21,10,11,0,2607.093314030592,4.283732561223674,-5.163447724031933,0.6666666666666666
-8.100932216337945,3.0,0.5,3,0,21,10,11,0,2605.386111820345,4.21544447281379,-5.163447724031944,0.7380952380952381
-8.100932216337945,3.0,0.5,2,0,21,10,11,0,2605.386111820345,4.21544447281379,-5.163447724031944,0.7380952380952381
-8.889650419281004,3.0,0.8,2,24,19,9,10,0,2638.1172622503636,5.524690490014539,-5.600913875641167,0.9473684210526315
-8.920281567396325,1.5,0.5,2,0,21,10,11,0,2561.1411733326386,2.445646933305534,-4.9633533685688125,0.5952380952380952
-8.920281567396325,1.5,0.5,1,0,21,10,11,0,2561.1411733326386,2.445646933305534,-4.9633533685688125,0.5952380952380952
-8.920281567396325,1.5,0.5,3,0,21,10,11,0,2561.1411733326386,2.445646933305534,-4.9633533685688125,0.5952380952380952
-8.974447844839114,3.0,0.5,2,24,19,9,10,0,2599.3634628840578,3.9745385153623136,-5.292418181095037,0.8157894736842105
-9.306184879132163,2.0,0.5,2,24,19,9,10,0,2559.449204976259,2.377968199050362,-5.0261374901436895,0.631578947368421
-9.349576535145284,1.5,0.35,1,6,19,9,10,0,2537.7771054661102,1.5110842186444096,-4.852770685008356,0.45263157894736833
-9.349576535145284,2.0,0.35,1,6,19,9,10,0,2537.7771054661102,1.5110842186444096,-4.852770685008356,0.45263157894736833
-10.00708252223132,3.0,0.35,1,6,19,9,10,0,2538.3917901905374,1.5356716076214916,-4.996369290495329,0.5552631578947368
-10.163026152270302,4.0,0.35,2,24,19,9,10,0,2577.6019292950637,3.104077171802544,-5.35939017348902,0.7605263157894737
-10.847487627602202,3.0,0.65,1,0,21,10,11,0,2609.949529615212,4.397981184608479,-5.780098697307512,0.7666666666666667
-10.895573064256096,3.0,0.65,2,0,21,10,11,0,2608.747393698866,4.349895747954635,-5.780098697307523,0.8166666666666667
-10.895573064256096,3.0,0.65,3,0,21,10,11,0,2608.747393698866,4.349895747954635,-5.780098697307523,0.8166666666666667
