symbol,ts,year,ret1,vol_ratio,entry,REF_status,REF_close_ret,REF_tp_hit,A_status,A_close_ret,A_tp_hit,B_status,B_close_ret,B_tp_hit
BNB/USDT,2022-11-08 17:00:00+00:00,2022,-7.33,2.48,347.9,expired,-17.28,,loss,-3.0,,loss,-4.0,
SOL/USDT,2022-11-10 08:00:00+00:00,2022,-7.69,1.55,14.16,win,5.0,TP1,loss,-3.0,,loss,-4.0,
SOL/USDT,2024-03-05 19:00:00+00:00,2024,-9.05,2.59,119.24,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
SOL/USDT,2025-01-19 21:00:00+00:00,2025,-8.09,2.15,255.2,win,5.0,TP1,loss,-3.0,,loss,-4.0,
XRP/USDT,2024-03-05 19:00:00+00:00,2024,-7.77,2.54,0.5674,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
ADA/USDT,2022-05-12 03:00:00+00:00,2022,-8.99,1.62,0.4416,win,5.0,TP1,loss,-3.0,,loss,-4.0,
ADA/USDT,2024-04-13 19:00:00+00:00,2024,-7.01,2.96,0.4508,win,5.0,TP1,loss,-3.0,,loss,-4.0,
ADA/USDT,2025-03-03 18:00:00+00:00,2025,-7.03,1.74,0.901,win,5.0,TP1,loss,-3.0,,loss,-4.0,
ADA/USDT,2025-03-03 19:00:00+00:00,2025,-7.14,2.33,0.8367,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
DOGE/USDT,2022-11-08 17:00:00+00:00,2022,-7.92,1.68,0.09955,expired,-16.68,,loss,-3.0,,loss,-4.0,
DOGE/USDT,2022-11-09 21:00:00+00:00,2022,-11.04,2.34,0.07209,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
DOGE/USDT,2024-03-05 04:00:00+00:00,2024,-7.26,1.74,0.18164,win,5.0,TP1,loss,-3.0,,loss,-4.0,
DOGE/USDT,2024-03-05 15:00:00+00:00,2024,-7.97,1.68,0.17278,expired,-6.75,,loss,-3.0,,loss,-4.0,
DOGE/USDT,2024-03-05 19:00:00+00:00,2024,-12.41,1.76,0.13797,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
DOGE/USDT,2024-04-13 19:00:00+00:00,2024,-7.86,2.75,0.15119,win,5.0,TP1,loss,-3.0,,loss,-4.0,
DOGE/USDT,2024-07-05 02:00:00+00:00,2024,-7.67,2.62,0.09487,win,5.0,TP1,loss,-3.0,,win,8.0,TP1
DOGE/USDT,2024-12-10 15:00:00+00:00,2024,-7.06,2.04,0.37282,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
AVAX/USDT,2022-05-11 06:00:00+00:00,2022,-9.23,2.56,37.49,win,5.0,TP1,loss,-3.0,,loss,-4.0,
AVAX/USDT,2023-01-14 09:00:00+00:00,2023,-7.24,2.73,16.79,expired,-2.86,,loss,-3.0,,loss,-4.0,
TRX/USDT,2024-12-04 00:00:00+00:00,2024,-9.64,1.5,0.3916,win,5.0,TP1,loss,-3.0,,loss,-4.0,
DOT/USDT,2022-11-09 21:00:00+00:00,2022,-7.01,2.39,5.44,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
DOT/USDT,2024-03-05 19:00:00+00:00,2024,-9.64,2.9,8.904,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
LINK/USDT,2022-11-08 17:00:00+00:00,2022,-9.25,1.73,8.269,expired,-21.09,,loss,-3.0,,loss,-4.0,
LINK/USDT,2022-11-09 21:00:00+00:00,2022,-7.53,2.1,5.915,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
MATIC/USDT,2022-06-28 15:00:00+00:00,2022,-8.08,2.64,0.5156,win,5.0,TP1,win,5.0,TP1,loss,-4.0,
MATIC/USDT,2022-11-08 17:00:00+00:00,2022,-9.28,1.91,1.0875,expired,-23.72,,loss,-3.0,,loss,-4.0,
MATIC/USDT,2024-03-05 19:00:00+00:00,2024,-8.21,2.35,0.9873,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
MATIC/USDT,2024-04-13 19:00:00+00:00,2024,-7.05,2.94,0.6713,expired,1.97,,loss,-3.0,,loss,-4.0,
LTC/USDT,2022-11-09 21:00:00+00:00,2022,-7.39,2.06,49.16,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
LTC/USDT,2024-03-05 19:00:00+00:00,2024,-8.9,2.4,77.46,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
BCH/USDT,2022-11-09 21:00:00+00:00,2022,-9.4,2.51,88.7,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
BCH/USDT,2024-03-05 19:00:00+00:00,2024,-10.45,2.07,374.4,win,5.0,TP1,win,5.0,TP1,win,8.0,TP1
